k,recall,ancestral_recall,reduction_rate,precision
751,0.9992841803865425,0.1,0.1725338062513855,0.0031166001375233297
756,0.9992841803865425,0.1,0.16814084090741152,0.0031001416826929484
761,0.9992841803865425,0.1,0.16377743294169808,0.0030839651485428487
766,1.0,0.1,0.15949161309391857,0.003070437641763227
771,1.0,0.1,0.1552852287002143,0.0030551479352054953
776,1.0,0.1,0.15096800413803296,0.003039612879081284
781,1.0,0.1,0.14679117712258924,0.0030247326565033916
786,1.0,0.1,0.14260511342643908,0.0030099649878804202
791,1.0,0.1,0.13845045444469076,0.002995450003645143
796,1.0,0.1,0.13438446759772407,0.002981379715093635
801,1.0,0.1,0.13029077070863815,0.0029673464446006827
806,1.0,0.1,0.12629867730732283,0.0029537881222618787
811,1.0,0.1,0.12241372940220202,0.0029407121280693813
